question,expected_answer,generated_answer,retrieved_docs,expected_docs,similarity_score,response_time,retrieval_count,context_match,difficulty,context_match_score
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,,,the-absurd-adolescence-of-john-doe.txt,0.0,0.0,0,False,easy,0.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...",,,the-absurd-adolescence-of-john-doe.txt,0.1341170072555542,99.3,0,False,medium,0.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,,,the-calm-storm-of-john-doe.txt,-0.011444136500358582,73.15,0,False,easy,0.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...",Answer: The context does not contain enough information to answer the question.,,the-calm-storm-of-john-doe.txt,0.08952228724956512,36.96,0,False,medium,0.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,Answer: The archive shut because it ran out of money – a lack of funding forced its closure. John wa...,,the-last-book.txt,0.34736013412475586,50.95,0,False,medium,0.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...",,,the-library-of-small-disappointments.txt,0.08735531568527222,54.74,0,False,easy,0.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...",,,the-library-of-small-disappointments.txt,0.08465610444545746,60.77,0,False,hard,0.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,Answer: He received a settlement notice from the university’s legal department informing him that th...,,the-ordinary-tuesday.txt,0.3710341453552246,46.71,0,False,medium,0.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,Answer: Mara died in a tragic accident that left her in a coma.,,the-quiet-clockwork-of-john-doe.txt,0.39847615361213684,32.56,0,False,medium,0.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...",Answer: The context does not contain enough information to answer the question.,,the-quiet-clockwork-of-john-doe.txt,0.14449596405029297,26.23,0,False,hard,0.0
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...","Answer:  
John was diagnosed with ALS (a progressive neurological disease) at age 32. He accepted th...",,the-uninvited-guest.txt,0.40028703212738037,26.78,0,False,medium,0.0
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"Answer:  
John’s last requests were to have a quiet place to rest, a simple meal,",,the-uninvited-guest.txt,0.23725059628486633,67.68,0,False,hard,0.0
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,"Answer:  
John’s wedding was a quiet, simple affair. The ceremony was calm and understated, and at t...",,the-wedding-that-wasnt.txt,0.579774796962738,36.78,0,False,easy,0.0
What was John's philosophy about tragedy throughout his life?,"He saw tragedy as life's way of reminding us that control is an illusion, the universe's way of edit...","Answer:  
John’s view of tragedy was that it is an absurd, indifferent event that should be accepted...",,"the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt",0.6018235087394714,34.02,0,False,hard,0.0
What jobs did John have throughout his life?,"Junior assistant at Evergreen Public Library, cataloguing assistant at a private rare-book dealer, r...",,,"the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt",0.0905347689986229,69.65,0,False,hard,0.0
