question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_10,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided,Pipeline_pipeline_error
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,28.516472339630127,4,easy,0.0,0.21076233183856502,0.4318181818181818,1.1818181818181819,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm, philosophical detachment, unlike the anxious, tear‑filled responses of other...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,28.922829151153564,4,medium,0.0,0.03553299492385787,0.18181818181818182,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,18.81728982925415,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted with calm indifference. He stood with his hands in his pockets, watched the smoke, and ...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,32.815929889678955,4,medium,0.0,0.12350597609561753,0.18032786885245902,1.7419354838709677,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize everything and shut down the physical ...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,27.422595024108887,4,medium,0.0,0.7076923076923077,0.375,0.90625,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At 21, John was let go from the Evergreen Public Library. The head librarian, Mrs. Hargrove, called ...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,43.636481285095215,4,easy,0.0,0.019639934533551555,0.13924050632911392,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,28.277933835983276,4,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated th...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,24.595762968063354,4,medium,0.0,0.08947368421052632,0.2894736842105263,1.2083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away three weeks la...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,30.041149616241455,4,medium,0.0,0.5015873015873016,0.3333333333333333,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in the hospital, reading to her, making instant coffee, and simply sitting bes...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,101.6433174610138,4,hard,0.0,0.03768506056527591,0.26506024096385544,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...","John was diagnosed with Stage IV pancreatic cancer. He listened quietly, nodded once, asked only one...","the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-uninvited-guest.txt,28.74609684944153,4,medium,0.0,0.2374429223744292,0.3,1.2580645161290323,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"John’s final requests were:

1. A fresh pot of truly terrible coffee.  
2. That someone finish catal...","the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-uninvited-guest.txt,37.97168850898743,4,hard,0.0,0.8525641025641025,0.6296296296296297,1.2857142857142858,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,"ERROR: The following component failed to run:
Component name: 'llm'
Component type: 'OllamaGenerator...",,the-wedding-that-wasnt.txt,0.0,0,easy,,,,,,,,,,,,,,,0.0
What was John's philosophy about tragedy throughout his life?,"He saw tragedy as life's way of reminding us that control is an illusion, the universe's way of edit...","John’s view of tragedy was consistently calm, accepting, and framed as an absurd, inevitable part of...","the-wedding-that-wasnt.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt","the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt",81.18023443222046,4,hard,0.0,0.021251475796930343,0.19148936170212766,2.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.75,1.0,
What jobs did John have throughout his life?,"Junior assistant at Evergreen Public Library, cataloguing assistant at a private rare-book dealer, r...","**John Doe’s known employment history (as stated in the provided texts)**  

| Period / Age | Job Ti...","the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt","the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt",85.63844060897827,4,hard,0.0,0.06615214994487321,0.1,2.0,1.0,0.5,0.5,0.25,0.5,0.5,0.5,0.0,1.0,1.0,
