question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_10,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided,Pipeline_pipeline_error
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"In the accident, the school bus skidded on wet pavement and struck a fallen tree, causing a chaotic ...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,25.74107050895691,4,easy,0.0,0.5520169851380042,0.43478260869565216,1.303030303030303,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and detached on the curb, shrugging off the paramedic’s question with a philosophic...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,25.748650550842285,4,medium,0.0,0.02527075812274368,0.14285714285714285,1.4411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,19.216132640838623,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted calmly and non‑dramatically. He stood at the charred remains, watched the smoke, and sa...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,23.040838956832886,4,medium,0.0,0.010619469026548672,0.15714285714285714,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize everything and shut down the physical ...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,27.961593866348267,4,medium,0.0,0.7076923076923077,0.375,0.90625,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...",John was called into the head librarian’s office and handed a folded letter announcing that his cont...,"the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,35.27739953994751,4,easy,0.0,0.0196078431372549,0.125,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,29.9910249710083,4,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,"ERROR: The following component failed to run:
Component name: 'llm'
Component type: 'OllamaGenerator...",,the-ordinary-tuesday.txt,0.0,0,medium,,,,,,,,,,,,,,,0.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away three weeks la...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,37.879414081573486,4,medium,0.0,0.4773413897280967,0.3076923076923077,0.84375,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in her hospital room for the remaining weeks, reading to her from philosophy b...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,47.01745128631592,4,hard,0.0,0.043758043758043756,0.2413793103448276,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...","John Doe was diagnosed with Stage IV pancreatic cancer at age 32. He listened quietly, nodded once, ...","the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-uninvited-guest.txt,29.967573165893555,4,medium,0.0,0.1328125,0.22950819672131148,1.6451612903225807,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"John’s final requests were:

1. A fresh pot of truly terrible coffee.  
2. That someone finish catal...","the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-uninvited-guest.txt,31.119548320770264,4,hard,0.0,0.8525641025641025,0.6296296296296297,1.2857142857142858,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,John’s wedding never took place. Lila called the night before and told him she couldn’t go through w...,"the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-wedding-that-wasnt.txt,119.22670221328735,4,easy,0.0,0.009732360097323601,0.17857142857142858,1.5517241379310345,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What was John's philosophy about tragedy throughout his life?,"He saw tragedy as life's way of reminding us that control is an illusion, the universe's way of edit...","John’s view of tragedy was that it is an inevitable, absurd part of life that should be met with cal...","the-wedding-that-wasnt.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt","the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt",90.66654658317566,4,hard,0.0,0.05128205128205128,0.1650485436893204,2.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.75,1.0,
What jobs did John have throughout his life?,"Junior assistant at Evergreen Public Library, cataloguing assistant at a private rare-book dealer, r...",,"the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt","the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt",99.27992153167725,4,hard,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.5,0.5,0.5,0.0,1.0,0.0,
