question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...",,the-absurd-adolescence-of-john-doe.txt,33.5856077671051,0,easy,0.0,0.21076233183856502,0.4318181818181818,1.1818181818181819,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and detached, refusing to cry or panic. While others screamed, sobbed, and were vis...",,the-absurd-adolescence-of-john-doe.txt,38.64280343055725,0,medium,0.0,0.01692524682651622,0.16049382716049382,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s beloved clocks.,,the-calm-storm-of-john-doe.txt,58.192359924316406,0,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John stood with his hands in his pockets, calmly watching the smoke curl into the sky. He remarked e...",,the-calm-storm-of-john-doe.txt,49.61844038963318,0,medium,0.0,0.09647495361781076,0.16417910447761194,1.935483870967742,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The university closed the archive because it decided to digitize all holdings and shut down the phys...,,the-last-book.txt,28.675581693649292,0,medium,0.0,0.6582278481012658,0.3181818181818182,0.96875,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","John was told his contract would not be renewed. The head librarian, Mrs. Hargrove, slid him a folde...",,the-library-of-small-disappointments.txt,34.868558168411255,0,easy,0.0,0.030973451327433628,0.15254237288135594,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...",,the-library-of-small-disappointments.txt,33.620970726013184,0,hard,0.0,0.5821205821205822,0.27450980392156865,0.9230769230769231,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,John received a class‑action settlement notice in the mail. It explained that years earlier a chemic...,,the-ordinary-tuesday.txt,31.5215802192688,0,medium,0.0,0.13615023474178403,0.4,1.5416666666666667,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara died. She had been diagnosed with an aggressive form of leukemia and passed away ...,,the-quiet-clockwork-of-john-doe.txt,26.33900785446167,0,medium,0.0,0.5198776758409785,0.3684210526315789,0.84375,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...",,,the-quiet-clockwork-of-john-doe.txt,101.49326825141907,0,hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
