question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,exact_match,answer_similarity,document_map,document_mrr,document_recall
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,,,the-absurd-adolescence-of-john-doe.txt,50.03,0,easy,0.0,0.05946660786867142,0.0,0.0,0.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...",,,the-absurd-adolescence-of-john-doe.txt,50.49,0,medium,0.0,0.1341170072555542,0.0,0.0,0.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,,,the-calm-storm-of-john-doe.txt,49.21,0,easy,0.0,-0.011444136500358582,0.0,0.0,0.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...",,,the-calm-storm-of-john-doe.txt,48.81,0,medium,0.0,0.10435978323221207,0.0,0.0,0.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,"Answer:  
The university archive was shut down because of budget cuts, and John was packing *The Gre...",,the-last-book.txt,26.62,0,medium,0.0,0.4045649468898773,0.0,0.0,0.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...",,,the-library-of-small-disappointments.txt,49.43,0,easy,0.0,0.08735531568527222,0.0,0.0,0.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...",Answer: The context does not contain enough information to answer the question.,,the-library-of-small-disappointments.txt,24.86,0,hard,0.0,0.10141992568969727,0.0,0.0,0.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,,,the-ordinary-tuesday.txt,50.58,0,medium,0.0,0.1041969507932663,0.0,0.0,0.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,Answer: Mara died of a heart attack.,,the-quiet-clockwork-of-john-doe.txt,17.61,0,medium,0.0,0.33095771074295044,0.0,0.0,0.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...",,,the-quiet-clockwork-of-john-doe.txt,48.84,0,hard,0.0,-0.006190337240695953,0.0,0.0,0.0
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...",,,the-uninvited-guest.txt,49.29,0,medium,0.0,0.1053767055273056,0.0,0.0,0.0
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"Answer:  
John’s last requests were to have his favorite book read aloud and to have his favorite so...",,the-uninvited-guest.txt,48.06,0,hard,0.0,0.18808582425117493,0.0,0.0,0.0
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,,,the-wedding-that-wasnt.txt,50.61,0,easy,0.0,0.04000338912010193,0.0,0.0,0.0
What was John's philosophy about tragedy throughout his life?,"He saw tragedy as life's way of reminding us that control is an illusion, the universe's way of edit...",,,"the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt",49.17,0,hard,0.0,0.05869032442569733,0.0,0.0,0.0
What jobs did John have throughout his life?,"Junior assistant at Evergreen Public Library, cataloguing assistant at a private rare-book dealer, r...",,,"the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt",49.6,0,hard,0.0,0.0905347689986229,0.0,0.0,0.0
