question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,27.927273273468018,4,easy,0.0,0.21076233183856502,0.4318181818181818,1.1818181818181819,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and detached, sitting on the curb and replying with a philosophical shrug (“Scary? ...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,23.849408388137817,4,medium,0.0,0.13526570048309178,0.23880597014925373,1.7647058823529411,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,18.853084564208984,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted with calm indifference. He stood with his hands in his pockets, watched the smoke, and ...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,33.173015117645264,4,medium,0.0,0.2553191489361702,0.18333333333333332,1.7419354838709677,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive was shut because the university decided to digitize all its holdings and close the physi...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,30.457676887512207,4,medium,0.0,0.6954314720812182,0.36585365853658536,0.96875,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...",John was told by the head librarian that his contract would not be renewed next semester and that th...,"the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,39.917880058288574,4,easy,0.0,0.026954177897574125,0.13725490196078433,1.9090909090909092,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0,0.25,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,27.036471128463745,4,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated Ev...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,24.66961646080017,4,medium,0.0,0.7377049180327869,0.3055555555555556,1.125,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara died three weeks after her diagnosis. She passed away quietly in the hospital whi...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,23.398710012435913,4,medium,0.0,0.08785529715762273,0.15384615384615385,1.15625,1.0,0.5,0.5,1.0,1.0,0,0.25,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in the hospital, reading to her, making instant coffee, and simply sitting bes...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,41.23239612579346,4,hard,0.0,0.045317220543806644,0.1875,2.0,1.0,0.5,0.5,1.0,1.0,0,0.25,1.0
