question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_10,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,25.449875831604004,4,easy,0.0,0.20659340659340658,0.3829787234042553,1.2727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and detached, shrugging off the scare with a philosophical remark and later journal...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,28.79132652282715,4,medium,0.0,0.012903225806451613,0.21428571428571427,1.7941176470588236,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty electrical wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,18.440038442611694,4,easy,0.0,0.8441558441558441,0.7647058823529411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted calmly and non‑dramatically. He stood at the charred ruins, watched the smoke, and said...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,19.699904918670654,4,medium,0.0,0.01968503937007874,0.1774193548387097,1.7096774193548387,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize everything and shut down the physical ...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,30.151265144348145,4,medium,0.0,0.7076923076923077,0.375,0.90625,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At 21, John was told by the head librarian, Mrs. Hargrove, that his contract would not be renewed ne...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,40.327065229415894,4,easy,0.0,0.1553030303030303,0.11594202898550725,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.25,0,0.25,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,30.31917905807495,4,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated th...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,25.44176459312439,4,medium,0.0,0.08947368421052632,0.2894736842105263,1.2083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away three weeks la...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,20.77575373649597,4,medium,0.0,0.5015873015873016,0.3333333333333333,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0,0.25,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John remained calm and present. He spent the weeks in Mara’s room reading, making coffee, and simply...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,54.70792603492737,4,hard,0.0,0.1781609195402299,0.2948717948717949,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0,0.25,1.0
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...","John Doe was diagnosed at age 32 with Stage IV pancreatic cancer. He listened quietly, nodded once, ...","the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-uninvited-guest.txt,29.027819871902466,4,medium,0.0,0.2863636363636364,0.17857142857142858,1.3225806451612903,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"John’s final requests were:

1. A fresh pot of truly terrible coffee.  
2. That someone finish catal...","the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-uninvited-guest.txt,31.556117057800293,4,hard,0.0,0.8525641025641025,0.6296296296296297,1.2857142857142858,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0,0.25,1.0
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,"John’s wedding never took place. Lila called the night before and told him she couldn’t go, citing h...","the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-wedding-that-wasnt.txt,28.37911629676819,4,easy,0.0,0.010126582278481013,0.18518518518518517,1.4827586206896552,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What was John's philosophy about tragedy throughout his life?,"He saw tragedy as life's way of reminding us that control is an illusion, the universe's way of edit...","John’s view of tragedy was that it is an inevitable, absurd part of life’s script—an “edit” or a foo...","the-wedding-that-wasnt.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt","the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt",86.32192945480347,4,hard,0.0,0.016666666666666666,0.18292682926829268,2.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0,0.75,1.0
