question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided,Pipeline_pipeline_error
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,104.03671836853027,4,easy,0.0,0.21076233183856502,0.4318181818181818,1.1818181818181819,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and detached on the curb, shrugging off the paramedic’s concern with a philosophica...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,33.04964828491211,4,medium,0.0,0.01957585644371941,0.15714285714285714,1.7647058823529411,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty electrical wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,18.374976634979248,4,easy,0.0,0.8441558441558441,0.7647058823529411,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted with calm indifference. He stood with his hands in his pockets, watched the smoke, and ...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,31.064817905426025,4,medium,0.0,0.2553191489361702,0.18333333333333332,1.7419354838709677,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize all holdings and shut down the physica...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,32.03001618385315,4,medium,0.0,0.673469387755102,0.3333333333333333,0.9375,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At 21, John was told by the head librarian that his contract would not be renewed for the next semes...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,39.25733685493469,4,easy,0.0,0.0273972602739726,0.15517241379310345,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.25,1.0,
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,25.78114652633667,4,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,John received a notice of a class‑action settlement for a chemical plant leak that had contaminated ...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,24.694138050079346,4,medium,0.0,0.08900523560209424,0.2894736842105263,1.2083333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away three weeks la...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,18.747568130493164,4,medium,0.0,0.4773413897280967,0.3076923076923077,0.84375,1.0,0.5,0.5,1.0,1.0,0.0,0.25,1.0,
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in her hospital room, reading to her, making instant coffee, and simply sittin...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,54.92526054382324,4,hard,0.0,0.04477611940298507,0.2972972972972973,2.0,1.0,0.5,0.5,1.0,1.0,0.0,0.25,1.0,
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...","John Doe was diagnosed with Stage IV pancreatic cancer at age 32. He reacted calmly—he listened, nod...","the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-uninvited-guest.txt,29.132829189300537,4,medium,0.0,0.21473684210526317,0.20689655172413793,1.3870967741935485,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"John’s final requests were:

1. A fresh pot of truly terrible coffee.  
2. That someone finish catal...","the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-uninvited-guest.txt,50.55664873123169,4,hard,0.0,0.8525641025641025,0.6296296296296297,1.2857142857142858,1.0,0.5,0.5,1.0,1.0,0.0,0.25,1.0,
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,"John’s wedding never took place. Lila called the night before and told him she couldn’t go, citing h...","the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-wedding-that-wasnt.txt,135.57865262031555,4,easy,0.0,0.14137214137214138,0.11594202898550725,1.9655172413793103,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What was John's philosophy about tragedy throughout his life?,"He saw tragedy as life's way of reminding us that control is an illusion, the universe's way of edit...",,"the-wedding-that-wasnt.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt","the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt",106.22263479232788,4,hard,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.5,1.0,0.6666666666666666,0.0,0.75,0.0,
What jobs did John have throughout his life?,"Junior assistant at Evergreen Public Library, cataloguing assistant at a private rare-book dealer, r...","ERROR: The following component failed to run:
Component name: 'text_embedder'
Component type: 'Ollam...",,"the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt",0.0,0,hard,,,,,,,,,,,,,0.0
