question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,AnswerEvaluator_semantic_similarity,AnswerEvaluator_faithfulness,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_10,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided,Pipeline_pipeline_error
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree, causing chaos with screams, shattere...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,31.821613788604736,4,easy,0.0,0.5548098434004475,0.4222222222222222,1.1818181818181819,0.5,0.8518520164306793,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm, philosophical detachment—he sat on the curb, shrugged off the paramedic’s co...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,25.200618028640747,4,medium,0.0,0.03184713375796178,0.2153846153846154,1.7058823529411764,0.5384615384615384,0.6581768043570303,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,19.826597213745117,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,0.8571428571428571,0.9272549005173862,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted with calm indifference. He stood with his hands in his pockets, watched the smoke, and ...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,32.841585874557495,4,medium,0.0,0.252465483234714,0.1864406779661017,1.6774193548387097,0.35,0.7737890098396086,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize all holdings and shut down the physica...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,31.35924005508423,4,medium,0.0,0.673469387755102,0.3333333333333333,0.9375,0.5238095238095238,0.8208595902869132,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At 21, John was called into the Evergreen Public Library’s head librarian’s office, where Mrs. Hargr...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,43.37459087371826,4,easy,0.0,0.03328290468986384,0.10714285714285714,2.0,0.35714285714285715,0.5825210194491819,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility  
2. Part‑time bari...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,26.68094277381897,4,hard,0.0,0.29957805907172996,0.2549019607843137,0.8974358974358975,0.4,0.7861273443495598,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated th...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,26.200802087783813,4,medium,0.0,0.08947368421052632,0.2894736842105263,1.2083333333333333,0.55,0.8903331835153655,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away three weeks la...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,20.284244775772095,4,medium,0.0,0.5015873015873016,0.3333333333333333,0.75,0.5,0.828156967892145,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...",John stayed with Mara in the hospital for the entire period of her illness. He read to her from phil...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,44.750715255737305,4,hard,0.0,0.056009334889148193,0.20652173913043478,2.0,0.55,0.7341666807720659,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...","John Doe was diagnosed with Stage IV pancreatic cancer at age 32. He listened quietly, nodded once, ...","the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-uninvited-guest.txt,29.337607860565186,4,medium,0.0,0.1277533039647577,0.2777777777777778,1.3870967741935485,0.4583333333333333,0.8248478477795584,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"John’s final requests were:

1. A fresh pot of truly terrible coffee.  
2. That someone finish catal...","the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-uninvited-guest.txt,26.505059242248535,4,hard,0.0,0.8525641025641025,0.6296296296296297,1.2857142857142858,1.0,0.7095496043927386,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.25,1.0,
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,"ERROR: The following component failed to run:
Component name: 'llm'
Component type: 'OllamaGenerator...",,the-wedding-that-wasnt.txt,0.0,0,easy,,,,,,,,,,,,,,,,,0.0
What was John's philosophy about tragedy throughout his life?,"He saw tragedy as life's way of reminding us that control is an illusion, the universe's way of edit...","John’s view of tragedy was that it is an inevitable, absurd part of life that should be met with cal...","the-wedding-that-wasnt.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt","the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt",39.825745582580566,4,hard,0.0,0.07901907356948229,0.19753086419753085,2.0,0.4782608695652174,0.7425286042864743,0.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.75,1.0,
What jobs did John have throughout his life?,"Junior assistant at Evergreen Public Library, cataloguing assistant at a private rare-book dealer, r...","**John Doe’s known jobs (as stated in the provided stories)**  

| Time / Context | Position | Emplo...","the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt","the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt",83.06877088546753,4,hard,0.0,0.04332129963898917,0.125,2.0,0.55,0.6399376230335738,0.0,0.5,0.5,0.25,0.5,0.5,0.5,0.0,1.0,1.0,
