question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,AnswerEvaluator_semantic_similarity,AnswerEvaluator_faithfulness,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_10,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-absurd-adolescence-of-john-doe.txt,28.390878438949585,3,easy,0.0,0.19090909090909092,0.4318181818181818,1.2424242424242424,0.5,0.8552218675613403,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm detachment and a philosophical shrug, saying “Scary? It’s just the universe p...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-absurd-adolescence-of-john-doe.txt,28.666882038116455,3,medium,0.0,0.0380952380952381,0.15714285714285714,1.7647058823529411,0.4230769230769231,0.6839504837989807,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-calm-storm-of-john-doe.txt,16.385475158691406,3,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,0.8571428571428571,0.9144107103347778,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted calmly and non‑distressed. He stood with his hands in his pockets, watched the smoke, a...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-calm-storm-of-john-doe.txt,30.275007009506226,3,medium,0.0,0.15,0.1694915254237288,1.5806451612903225,0.3,0.7005983591079712,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The university closed the archive to digitize all its holdings and shut the physical stacks. John wa...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt",the-last-book.txt,23.5545015335083,3,medium,0.0,0.6536312849162011,0.3076923076923077,0.75,0.38095238095238093,0.7084963321685791,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At 21, John was called into the head librarian’s office and handed a folded letter announcing that h...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt",the-library-of-small-disappointments.txt,33.397595167160034,3,easy,0.0,0.04081632653061224,0.13793103448275862,2.0,0.42857142857142855,0.5073896050453186,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt",the-library-of-small-disappointments.txt,25.43485736846924,3,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,0.6,0.7460676431655884,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated th...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt",the-ordinary-tuesday.txt,23.648797273635864,3,medium,0.0,0.08947368421052632,0.2894736842105263,1.2083333333333333,0.55,0.8856320977210999,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,"John’s sister Mara died three weeks after her diagnosis, quietly in the hospital while John was read...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt",the-quiet-clockwork-of-john-doe.txt,17.9586820602417,3,medium,0.0,0.2198581560283688,0.15789473684210525,0.59375,0.25,0.6610631942749023,0.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in her hospital room, reading to her, making coffee, and simply watching the I...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt",the-quiet-clockwork-of-john-doe.txt,40.230056047439575,3,hard,0.0,0.13114754098360656,0.2857142857142857,2.0,0.5,0.6273748874664307,0.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0,0.3333333333333333,1.0
