question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided,Pipeline_pipeline_error
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,32.19710087776184,4,easy,0.0,0.21076233183856502,0.4318181818181818,1.1818181818181819,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and detached on the curb, shrugging off the chaos with a philosophical remark (“Sca...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,108.29727554321289,4,medium,0.0,0.06287425149700598,0.2054794520547945,1.9411764705882353,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,118.85964703559875,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted with calm indifference. He stood with his hands in his pockets, watched the smoke, and ...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,30.985529899597168,4,medium,0.0,0.25287356321839083,0.18032786885245902,1.7741935483870968,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize all holdings and shut down the physica...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,26.169644117355347,4,medium,0.0,0.673469387755102,0.3333333333333333,0.9375,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","John was told that his contract would not be renewed. In a brief meeting with the head librarian, Mr...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,31.728342294692993,4,easy,0.0,0.13934426229508196,0.140625,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.25,1.0,
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,26.27143955230713,4,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated Ev...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,23.815959215164185,4,medium,0.0,0.7377049180327869,0.3055555555555556,1.125,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away quietly three ...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,18.795663833618164,4,medium,0.0,0.48632218844984804,0.3076923076923077,0.84375,1.0,0.5,0.5,1.0,1.0,0.0,0.25,1.0,
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John accepted his sister’s death with calm, almost mechanical composure. He did not cry or pace; ins...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,41.61760115623474,4,hard,0.0,0.069164265129683,0.2261904761904762,2.0,1.0,0.5,0.5,1.0,1.0,0.0,0.25,1.0,
