question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,AnswerEvaluator_semantic_similarity,AnswerEvaluator_faithfulness,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_4,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_waste,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,28.186846494674683,4,easy,0.0,0.19090909090909092,0.4318181818181818,1.2424242424242424,0.5,0.8467408985179437,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm, philosophical detachment, unlike the anxious, tear‑filled responses of his p...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,29.986257791519165,4,medium,0.0,0.015056461731493099,0.2289156626506024,2.0,0.6153846153846154,0.8163003453267638,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,19.059508323669434,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,0.8571428571428571,0.9272549005173862,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted with calm indifference. He stood with his hands in his pockets, watched the smoke, and ...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,32.67551016807556,4,medium,0.0,0.1111111111111111,0.1896551724137931,1.6451612903225807,0.35,0.7815138919299982,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize all holdings and shut down the physica...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,29.974889516830444,4,medium,0.0,0.673469387755102,0.3333333333333333,0.9375,0.5238095238095238,0.8208595902869132,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At 21, John was told by the head librarian that his contract would not be renewed for the next semes...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,39.570106744766235,4,easy,0.0,0.04176334106728538,0.13793103448275862,2.0,0.42857142857142855,0.6355088344223048,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.25,0,0.75,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,29.25361394882202,4,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,0.6,0.8364440191343652,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated th...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,24.95114827156067,4,medium,0.0,0.08947368421052632,0.2894736842105263,1.2083333333333333,0.55,0.8903331835153655,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away three weeks la...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,19.675490856170654,4,medium,0.0,0.4688427299703264,0.275,0.84375,0.5,0.8236199674443071,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0,0.75,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...",John stayed with Mara in her hospital room for the weeks after her diagnosis. He read to her from ph...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,47.94355010986328,4,hard,0.0,0.04580152671755725,0.25609756097560976,2.0,0.6,0.7356430099732862,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0,0.75,1.0
